date,ingredient,unit,consumed_qty
2025-09-15,Chicken,g,22803.4
2025-09-15,Spices,g,2268.7
2025-09-15,Oil,ml,6551.7
2025-09-15,Vegetables,g,12538.9
2025-09-15,Egg,g,2006.3
2025-09-15,Cheese,g,3928.8
2025-09-15,Flour,g,10657.4
2025-09-16,Rice,g,23998.8
2025-09-16,Chicken,g,27711.2
2025-09-16,Spices,g,2614.8
2025-09-16,Oil,ml,8713.4
2025-09-16,Vegetables,g,14543.2
2025-09-16,Egg,g,2369.5
2025-09-16,Cheese,g,5123.0
2025-09-16,Flour,g,14571.0
2025-09-17,Rice,g,26541.8
2025-09-17,Chicken,g,28511.0
2025-09-17,Spices,g,2830.6
2025-09-17,Oil,ml,8480.9
2025-09-17,Vegetables,g,14749.7
2025-09-17,Egg,g,2209.2
2025-09-17,Cheese,g,4893.3
2025-09-17,Flour,g,13486.8
2025-09-18,Rice,g,26200.2
2025-09-18,Chicken,g,25024.2
2025-09-18,Spices,g,2284.6
2025-09-18,Oil,ml,6496.5
2025-09-18,Vegetables,g,13504.5
2025-09-18,Egg,g,1918.0
2025-09-18,Cheese,g,4603.2
2025-09-18,Flour,g,12067.5
2025-09-19,Rice,g,31225.6
2025-09-19,Chicken,g,34118.7
2025-09-19,Spices,g,3392.2
2025-09-19,Oil,ml,10236.5
2025-09-19,Vegetables,g,17379.5
2025-09-19,Egg,g,2601.3
2025-09-19,Cheese,g,6492.2
2025-09-19,Flour,g,17018.4
2025-09-20,Rice,g,35750.9
2025-09-20,Chicken,g,40654.6
2025-09-20,Spices,g,3779.3
2025-09-20,Oil,ml,12080.3
2025-09-20,Vegetables,g,20173.4
2025-09-20,Egg,g,2969.9
2025-09-20,Cheese,g,6804.1
2025-09-20,Flour,g,19395.6
2025-09-21,Rice,g,37216.1
2025-09-21,Chicken,g,40457.8
2025-09-21,Spices,g,3703.1
2025-09-21,Oil,ml,11848.1
2025-09-21,Vegetables,g,20090.5
2025-09-21,Egg,g,3167.3
2025-09-21,Cheese,g,6490.5
2025-09-21,Flour,g,17912.7
2025-09-22,Rice,g,29834.1
2025-09-22,Chicken,g,28013.5
2025-09-22,Spices,g,2778.9
2025-09-22,Oil,ml,7882.4
2025-09-22,Vegetables,g,13709.6
2025-09-22,Egg,g,2383.7
2025-09-22,Cheese,g,3223.0
2025-09-22,Flour,g,9799.7
2025-09-23,Rice,g,22730.9
2025-09-23,Chicken,g,23131.7
2025-09-23,Spices,g,2306.4
2025-09-23,Oil,ml,7112.1
2025-09-23,Vegetables,g,11520.8
2025-09-23,Egg,g,2112.1
2025-09-23,Cheese,g,2600.9
2025-09-23,Flour,g,8437.6
2025-09-24,Rice,g,22676.8
2025-09-24,Chicken,g,21243.1
2025-09-24,Spices,g,2152.0
2025-09-24,Oil,ml,6735.5
2025-09-24,Vegetables,g,12685.5
2025-09-24,Egg,g,2489.7
2025-09-24,Cheese,g,3011.5
2025-09-24,Flour,g,9601.8
2025-09-25,Rice,g,32002.2
2025-09-25,Chicken,g,33000.6
2025-09-25,Spices,g,3112.3
2025-09-25,Oil,ml,8753.3
2025-09-25,Vegetables,g,14674.8
2025-09-25,Egg,g,1830.6
2025-09-25,Cheese,g,3979.6
2025-09-25,Flour,g,11574.3
2025-09-26,Rice,g,34176.3
2025-09-26,Chicken,g,42093.7
2025-09-26,Spices,g,3957.0
2025-09-26,Oil,ml,12483.5
2025-09-26,Vegetables,g,18653.8
2025-09-26,Egg,g,2382.9
2025-09-26,Cheese,g,6817.1
2025-09-26,Flour,g,19059.0
2025-09-27,Rice,g,33881.1
2025-09-27,Chicken,g,39017.6
2025-09-27,Spices,g,3589.8
2025-09-27,Oil,ml,11159.0
2025-09-27,Vegetables,g,19004.5
2025-09-27,Egg,g,2501.5
2025-09-27,Cheese,g,7885.2
2025-09-27,Flour,g,19858.2
2025-09-28,Rice,g,40965.0
2025-09-28,Chicken,g,40345.5
2025-09-28,Spices,g,4119.9
2025-09-28,Oil,ml,12029.8
2025-09-28,Vegetables,g,22486.1
2025-09-28,Egg,g,3289.0
2025-09-28,Cheese,g,7979.1
2025-09-28,Flour,g,19699.0
2025-09-29,Rice,g,24078.3
2025-09-29,Chicken,g,24108.0
2025-09-29,Spices,g,2511.7
2025-09-29,Oil,ml,7782.3
2025-09-29,Vegetables,g,12515.0
2025-09-29,Egg,g,2187.9
2025-09-29,Cheese,g,3542.3
2025-09-29,Flour,g,10611.9
2025-09-30,Rice,g,21380.2
2025-09-30,Chicken,g,25334.1
2025-09-30,Spices,g,2387.8
2025-09-30,Oil,ml,8138.9
2025-09-30,Vegetables,g,14376.4
2025-09-30,Egg,g,2208.3
2025-09-30,Cheese,g,5448.7
2025-09-30,Flour,g,15387.1
2025-10-01,Rice,g,24971.6
2025-10-01,Chicken,g,25442.0
2025-10-01,Spices,g,2552.7
2025-10-01,Oil,ml,8277.9
2025-10-01,Vegetables,g,14039.1
2025-10-01,Egg,g,2470.9
2025-10-01,Cheese,g,4150.4
2025-10-01,Flour,g,12328.1
2025-10-02,Rice,g,37147.9
2025-10-02,Chicken,g,36949.2
2025-10-02,Spices,g,3745.0
2025-10-02,Oil,ml,11660.6
2025-10-02,Vegetables,g,19475.6
2025-10-02,Egg,g,3489.0
2025-10-02,Cheese,g,5360.0
2025-10-02,Flour,g,15171.3
2025-10-03,Rice,g,19189.3
2025-10-03,Chicken,g,23313.4
2025-10-03,Spices,g,1975.1
2025-10-03,Oil,ml,6622.7
2025-10-03,Vegetables,g,13173.4
2025-10-03,Egg,g,1703.1
2025-10-03,Cheese,g,6191.1
2025-10-03,Flour,g,15974.5
2025-10-04,Rice,g,40218.2
2025-10-04,Chicken,g,45675.6
2025-10-04,Spices,g,4092.3
2025-10-04,Oil,ml,12930.9
2025-10-04,Vegetables,g,22418.9
2025-10-04,Egg,g,2751.6
2025-10-04,Cheese,g,9038.8
2025-10-04,Flour,g,22994.0
2025-10-05,Rice,g,38138.9
2025-10-05,Chicken,g,38771.8
2025-10-05,Spices,g,3797.2
2025-10-05,Oil,ml,11375.2
2025-10-05,Vegetables,g,20542.0
2025-10-05,Egg,g,3160.0
2025-10-05,Cheese,g,7556.5
2025-10-05,Flour,g,18548.8
2025-10-06,Rice,g,24490.8
2025-10-06,Chicken,g,22589.6
2025-10-06,Spices,g,2357.0
2025-10-06,Oil,ml,7421.4
2025-10-06,Vegetables,g,13987.0
2025-10-06,Egg,g,2597.1
2025-10-06,Cheese,g,4309.3
2025-10-06,Flour,g,11668.1
2025-10-07,Rice,g,25084.1
2025-10-07,Chicken,g,26131.4
2025-10-07,Spices,g,2630.0
2025-10-07,Oil,ml,8233.5
2025-10-07,Vegetables,g,13565.0
2025-10-07,Egg,g,2054.1
2025-10-07,Cheese,g,3835.3
2025-10-07,Flour,g,11995.3
2025-10-08,Rice,g,24321.2
2025-10-08,Chicken,g,23289.3
2025-10-08,Spices,g,2285.0
2025-10-08,Oil,ml,6706.9
2025-10-08,Vegetables,g,12761.5
2025-10-08,Egg,g,1840.2
2025-10-08,Cheese,g,4009.3
2025-10-08,Flour,g,11363.5
2025-10-09,Rice,g,24902.3
2025-10-09,Chicken,g,28613.8
2025-10-09,Spices,g,2521.4
2025-10-09,Oil,ml,7872.8
2025-10-09,Vegetables,g,14612.9
2025-10-09,Egg,g,1818.4
2025-10-09,Cheese,g,6066.2
2025-10-09,Flour,g,15306.2
2025-10-10,Rice,g,26570.5
2025-10-10,Chicken,g,30373.2
2025-10-10,Spices,g,2801.6
2025-10-10,Oil,ml,8999.8
2025-10-10,Vegetables,g,16023.5
2025-10-10,Egg,g,2371.6
2025-10-10,Cheese,g,5689.1
2025-10-10,Flour,g,15311.3
2025-10-11,Rice,g,30210.3
2025-10-11,Chicken,g,34932.0
2025-10-11,Spices,g,3218.6
2025-10-11,Oil,ml,9769.9
2025-10-11,Vegetables,g,17372.8
2025-10-11,Egg,g,2470.9
2025-10-11,Cheese,g,6243.9
2025-10-11,Flour,g,16961.7
2025-10-12,Rice,g,30356.2
2025-10-12,Chicken,g,32748.1
2025-10-12,Spices,g,2827.6
2025-10-12,Oil,ml,8343.2
2025-10-12,Vegetables,g,17105.7
2025-10-12,Egg,g,2212.1
2025-10-12,Cheese,g,6533.6
2025-10-12,Flour,g,16570.7
2025-10-13,Rice,g,25331.4
2025-10-13,Chicken,g,26863.0
2025-10-13,Spices,g,2636.7
2025-10-13,Oil,ml,8385.5
2025-10-13,Vegetables,g,13731.1
2025-10-13,Egg,g,2440.0
2025-10-13,Cheese,g,3898.6
2025-10-13,Flour,g,11536.9
2025-10-14,Rice,g,24778.8
2025-10-14,Chicken,g,25099.5
2025-10-14,Spices,g,2342.6
2025-10-14,Oil,ml,7096.8
2025-10-14,Vegetables,g,14586.8
2025-10-14,Egg,g,2301.1
2025-10-14,Cheese,g,4784.9
2025-10-14,Flour,g,12704.5
2025-10-15,Rice,g,21952.8
2025-10-15,Chicken,g,25690.5
2025-10-15,Spices,g,2478.0
2025-10-15,Oil,ml,8271.3
2025-10-15,Vegetables,g,12257.6
2025-10-15,Egg,g,1824.7
2025-10-15,Cheese,g,3680.5
2025-10-15,Flour,g,11442.2
2025-10-16,Rice,g,27406.6
2025-10-16,Chicken,g,30866.7
2025-10-16,Spices,g,2935.2
2025-10-16,Oil,ml,9122.3
2025-10-16,Vegetables,g,13804.4
2025-10-16,Egg,g,2212.1
2025-10-16,Cheese,g,4303.0
2025-10-16,Flour,g,11264.9
2025-10-17,Rice,g,34197.0
2025-10-17,Chicken,g,33989.6
2025-10-17,Spices,g,3008.0
2025-10-17,Oil,ml,8836.9
2025-10-17,Vegetables,g,18504.7
2025-10-17,Egg,g,2436.0
2025-10-17,Cheese,g,6392.3
2025-10-17,Flour,g,16559.2
2025-10-18,Rice,g,29781.2
2025-10-18,Chicken,g,35134.0
2025-10-18,Spices,g,3384.1
2025-10-18,Oil,ml,11278.8
2025-10-18,Vegetables,g,18686.3
2025-10-18,Egg,g,2929.5
2025-10-18,Cheese,g,7354.9
2025-10-18,Flour,g,19092.4
2025-10-19,Rice,g,40306.2
2025-10-19,Chicken,g,41827.5
2025-10-19,Spices,g,3836.4
2025-10-19,Oil,ml,11262.9
2025-10-19,Vegetables,g,21578.5
2025-10-19,Egg,g,2662.5
2025-10-19,Cheese,g,9129.1
2025-10-19,Flour,g,22705.9
2025-10-20,Rice,g,32081.8
2025-10-20,Chicken,g,30812.1
2025-10-20,Spices,g,3040.4
2025-10-20,Oil,ml,9737.5
2025-10-20,Vegetables,g,19194.1
2025-10-20,Egg,g,3283.6
2025-10-20,Cheese,g,6877.7
2025-10-20,Flour,g,18006.1
2025-10-21,Rice,g,28165.2
2025-10-21,Chicken,g,26242.1
2025-10-21,Spices,g,2747.0
2025-10-21,Oil,ml,7860.3
2025-10-21,Vegetables,g,14951.4
2025-10-21,Egg,g,2415.1
2025-10-21,Cheese,g,4389.9
2025-10-21,Flour,g,12132.2
2025-10-22,Rice,g,23619.3
2025-10-22,Chicken,g,24990.0
2025-10-22,Spices,g,2449.1
2025-10-22,Oil,ml,7989.1
2025-10-22,Vegetables,g,13120.7
2025-10-22,Egg,g,2294.4
2025-10-22,Cheese,g,4033.5
2025-10-22,Flour,g,11251.6
2025-10-23,Rice,g,26986.2
2025-10-23,Chicken,g,30262.5
2025-10-23,Spices,g,2740.2
2025-10-23,Oil,ml,8634.5
2025-10-23,Vegetables,g,15804.8
2025-10-23,Egg,g,2182.3
2025-10-23,Cheese,g,6126.1
2025-10-23,Flour,g,15566.2
2025-10-24,Rice,g,31222.3
2025-10-24,Chicken,g,38400.2
2025-10-24,Spices,g,3455.4
2025-10-24,Oil,ml,10834.9
2025-10-24,Vegetables,g,19415.2
2025-10-24,Egg,g,2374.1
2025-10-24,Cheese,g,7833.3
2025-10-24,Flour,g,20840.0
2025-10-25,Rice,g,34242.5
2025-10-25,Chicken,g,39620.4
2025-10-25,Spices,g,3637.4
2025-10-25,Oil,ml,11558.5
2025-10-25,Vegetables,g,19781.5
2025-10-25,Egg,g,2706.4
2025-10-25,Cheese,g,7222.1
2025-10-25,Flour,g,19439.3
2025-10-26,Rice,g,33149.7
2025-10-26,Chicken,g,37254.1
2025-10-26,Spices,g,3462.1
2025-10-26,Oil,ml,10607.9
2025-10-26,Vegetables,g,17828.8
2025-10-26,Egg,g,2351.9
2025-10-26,Cheese,g,6920.5
2025-10-26,Flour,g,18067.1
2025-10-27,Rice,g,25573.8
2025-10-27,Chicken,g,21540.8
2025-10-27,Spices,g,2194.6
2025-10-27,Oil,ml,6557.3
2025-10-27,Vegetables,g,13881.1
2025-10-27,Egg,g,2502.5
2025-10-27,Cheese,g,3764.1
2025-10-27,Flour,g,10250.2
2025-10-28,Rice,g,19004.3
2025-10-28,Chicken,g,19525.5
2025-10-28,Spices,g,1905.2
2025-10-28,Oil,ml,6135.0
2025-10-28,Vegetables,g,12187.6
2025-10-28,Egg,g,1916.6
2025-10-28,Cheese,g,4485.3
2025-10-28,Flour,g,12535.4
2025-10-29,Rice,g,26837.3
2025-10-29,Chicken,g,30419.4
2025-10-29,Spices,g,2800.7
2025-10-29,Oil,ml,8027.2
2025-10-29,Vegetables,g,13610.1
2025-10-29,Egg,g,1505.3
2025-10-29,Cheese,g,5380.6
2025-10-29,Flour,g,13702.0
2025-10-30,Rice,g,23122.5
2025-10-30,Chicken,g,29841.8
2025-10-30,Spices,g,2858.9
2025-10-30,Oil,ml,8676.2
2025-10-30,Vegetables,g,13298.5
2025-10-30,Egg,g,1424.0
2025-10-30,Cheese,g,4645.9
2025-10-30,Flour,g,13886.7
2025-10-31,Rice,g,35673.1
2025-10-31,Chicken,g,40233.1
2025-10-31,Spices,g,3848.5
2025-10-31,Oil,ml,11807.2
2025-10-31,Vegetables,g,19128.9
2025-10-31,Egg,g,2522.0
2025-10-31,Cheese,g,6993.5
2025-10-31,Flour,g,18524.1
2025-11-01,Rice,g,33659.9
2025-11-01,Chicken,g,37728.8
2025-11-01,Spices,g,3439.6
2025-11-01,Oil,ml,10569.4
2025-11-01,Vegetables,g,19018.7
2025-11-01,Egg,g,2312.6
2025-11-01,Cheese,g,8341.3
2025-11-01,Flour,g,20580.6
2025-11-02,Rice,g,34179.9
2025-11-02,Chicken,g,37703.4
2025-11-02,Spices,g,3443.5
2025-11-02,Oil,ml,10252.4
2025-11-02,Vegetables,g,19095.8
2025-11-02,Egg,g,2839.6
2025-11-02,Cheese,g,6718.7
2025-11-02,Flour,g,17533.0
2025-11-03,Rice,g,21592.9
2025-11-03,Chicken,g,23895.3
2025-11-03,Spices,g,2451.4
2025-11-03,Oil,ml,7558.5
2025-11-03,Vegetables,g,11857.2
2025-11-03,Egg,g,1758.8
2025-11-03,Cheese,g,3867.7
2025-11-03,Flour,g,11022.3
2025-11-04,Rice,g,22952.7
2025-11-04,Chicken,g,23059.1
2025-11-04,Spices,g,2218.1
2025-11-04,Oil,ml,6738.8
2025-11-04,Vegetables,g,12196.2
2025-11-04,Egg,g,1822.5
2025-11-04,Cheese,g,3888.9
2025-11-04,Flour,g,10960.0
2025-11-05,Rice,g,22594.9
2025-11-05,Chicken,g,24930.5
2025-11-05,Spices,g,2440.5
2025-11-05,Oil,ml,7804.7
2025-11-05,Vegetables,g,12856.5
2025-11-05,Egg,g,2234.6
2025-11-05,Cheese,g,3332.8
2025-11-05,Flour,g,11008.4
2025-11-06,Rice,g,23470.7
2025-11-06,Chicken,g,24714.6
2025-11-06,Spices,g,2370.2
2025-11-06,Oil,ml,7285.1
2025-11-06,Vegetables,g,13531.1
2025-11-06,Egg,g,1950.0
2025-11-06,Cheese,g,4313.1
2025-11-06,Flour,g,12610.7
2025-11-07,Rice,g,29763.2
2025-11-07,Chicken,g,36849.1
2025-11-07,Spices,g,3524.9
2025-11-07,Oil,ml,11486.5
2025-11-07,Vegetables,g,17376.6
2025-11-07,Egg,g,2304.0
2025-11-07,Cheese,g,7593.5
2025-11-07,Flour,g,18690.2
2025-11-08,Rice,g,33568.6
2025-11-08,Chicken,g,40662.9
2025-11-08,Spices,g,3845.3
2025-11-08,Oil,ml,12049.6
2025-11-08,Vegetables,g,18529.4
2025-11-08,Egg,g,2318.9
2025-11-08,Cheese,g,7637.6
2025-11-08,Flour,g,19594.9
2025-11-09,Rice,g,39596.1
2025-11-09,Chicken,g,38982.7
2025-11-09,Spices,g,3560.8
2025-11-09,Oil,ml,9771.0
2025-11-09,Vegetables,g,21657.7
2025-11-09,Egg,g,2884.4
2025-11-09,Cheese,g,8930.4
2025-11-09,Flour,g,21969.5
2025-11-10,Rice,g,24404.4
2025-11-10,Chicken,g,25069.8
2025-11-10,Spices,g,2374.3
2025-11-10,Oil,ml,7149.2
2025-11-10,Vegetables,g,13205.8
2025-11-10,Egg,g,1748.4
2025-11-10,Cheese,g,4769.2
2025-11-10,Flour,g,12346.4
2025-11-11,Rice,g,21468.9
2025-11-11,Chicken,g,22620.7
2025-11-11,Spices,g,2294.4
2025-11-11,Oil,ml,7056.2
2025-11-11,Vegetables,g,12956.0
2025-11-11,Egg,g,1982.0
2025-11-11,Cheese,g,4770.2
2025-11-11,Flour,g,12819.3
2025-11-12,Rice,g,21322.2
2025-11-12,Chicken,g,23038.6
2025-11-12,Spices,g,2290.4
2025-11-12,Oil,ml,7438.3
2025-11-12,Vegetables,g,11233.9
2025-11-12,Egg,g,1819.7
2025-11-12,Cheese,g,3504.8
2025-11-12,Flour,g,10119.6
2025-11-13,Rice,g,33681.9
2025-11-13,Chicken,g,35931.9
2025-11-13,Spices,g,3417.3
2025-11-13,Oil,ml,10277.3
2025-11-13,Vegetables,g,16514.9
2025-11-13,Egg,g,2035.5
2025-11-13,Cheese,g,5941.7
2025-11-13,Flour,g,14520.7
2025-11-14,Rice,g,33449.4
2025-11-14,Chicken,g,38744.9
2025-11-14,Spices,g,3644.2
2025-11-14,Oil,ml,10812.8
2025-11-14,Vegetables,g,16732.3
2025-11-14,Egg,g,2020.8
2025-11-14,Cheese,g,5075.7
2025-11-14,Flour,g,15057.3
2025-11-15,Rice,g,35057.1
2025-11-15,Chicken,g,38200.6
2025-11-15,Spices,g,3570.1
2025-11-15,Oil,ml,10827.8
2025-11-15,Vegetables,g,19254.5
2025-11-15,Egg,g,2789.5
2025-11-15,Cheese,g,6750.3
2025-11-15,Flour,g,18007.1
2025-11-16,Rice,g,34300.7
2025-11-16,Chicken,g,40751.8
2025-11-16,Spices,g,3727.9
2025-11-16,Oil,ml,11603.0
2025-11-16,Vegetables,g,19815.9
2025-11-16,Egg,g,2665.2
2025-11-16,Cheese,g,8044.4
2025-11-16,Flour,g,20432.6
2025-11-17,Rice,g,19111.7
2025-11-17,Chicken,g,22692.5
2025-11-17,Spices,g,2230.2
2025-11-17,Oil,ml,6828.6
2025-11-17,Vegetables,g,12071.4
2025-11-17,Egg,g,1580.2
2025-11-17,Cheese,g,4274.5
2025-11-17,Flour,g,13132.3
2025-11-18,Rice,g,21672.3
2025-11-18,Chicken,g,22400.1
2025-11-18,Spices,g,2228.4
2025-11-18,Oil,ml,6632.9
2025-11-18,Vegetables,g,11173.6
2025-11-18,Egg,g,1712.5
2025-11-18,Cheese,g,3735.4
2025-11-18,Flour,g,9386.1
2025-11-19,Rice,g,19651.1
2025-11-19,Chicken,g,24312.2
2025-11-19,Spices,g,2243.6
2025-11-19,Oil,ml,7492.1
2025-11-19,Vegetables,g,11645.6
2025-11-19,Egg,g,1846.5
2025-11-19,Cheese,g,3447.2
2025-11-19,Flour,g,10291.4
2025-11-20,Rice,g,26184.6
2025-11-20,Chicken,g,29725.2
2025-11-20,Spices,g,2815.8
2025-11-20,Oil,ml,8686.5
2025-11-20,Vegetables,g,14806.2
2025-11-20,Egg,g,2160.2
2025-11-20,Cheese,g,4584.8
2025-11-20,Flour,g,13046.3
2025-11-21,Rice,g,29847.2
2025-11-21,Chicken,g,32290.3
2025-11-21,Spices,g,2924.7
2025-11-21,Oil,ml,8801.7
2025-11-21,Vegetables,g,17413.0
2025-11-21,Egg,g,2310.8
2025-11-21,Cheese,g,6841.1
2025-11-21,Flour,g,17851.3
2025-11-22,Rice,g,32540.3
2025-11-22,Chicken,g,38876.3
2025-11-22,Spices,g,3482.2
2025-11-22,Oil,ml,11062.6
2025-11-22,Vegetables,g,18726.0
2025-11-22,Egg,g,2462.3
2025-11-22,Cheese,g,8078.7
2025-11-22,Flour,g,20123.4
2025-11-23,Rice,g,34536.7
2025-11-23,Chicken,g,36541.6
2025-11-23,Spices,g,3331.7
2025-11-23,Oil,ml,9856.1
2025-11-23,Vegetables,g,18778.3
2025-11-23,Egg,g,2614.2
2025-11-23,Cheese,g,6766.1
2025-11-23,Flour,g,17780.6
2025-11-24,Rice,g,18728.1
2025-11-24,Chicken,g,20964.3
2025-11-24,Spices,g,2111.2
2025-11-24,Oil,ml,6737.5
2025-11-24,Vegetables,g,11278.9
2025-11-24,Egg,g,1737.5
2025-11-24,Cheese,g,4267.3
2025-11-24,Flour,g,11189.4
2025-11-25,Rice,g,29785.6
2025-11-25,Chicken,g,28559.7
2025-11-25,Spices,g,2919.3
2025-11-25,Oil,ml,8608.1
2025-11-25,Vegetables,g,15244.4
2025-11-25,Egg,g,2539.1
2025-11-25,Cheese,g,4394.3
2025-11-25,Flour,g,12769.9
2025-11-26,Rice,g,25446.5
2025-11-26,Chicken,g,26715.5
2025-11-26,Spices,g,2577.0
2025-11-26,Oil,ml,8176.7
2025-11-26,Vegetables,g,15185.6
2025-11-26,Egg,g,2650.6
2025-11-26,Cheese,g,4821.3
2025-11-26,Flour,g,13149.7
2025-11-27,Rice,g,22931.0
2025-11-27,Chicken,g,21845.9
2025-11-27,Spices,g,2104.9
2025-11-27,Oil,ml,5913.5
2025-11-27,Vegetables,g,13928.6
2025-11-27,Egg,g,1957.4
2025-11-27,Cheese,g,5210.8
2025-11-27,Flour,g,13860.2
2025-11-28,Rice,g,29432.2
2025-11-28,Chicken,g,37209.8
2025-11-28,Spices,g,3167.5
2025-11-28,Oil,ml,10734.7
2025-11-28,Vegetables,g,17452.8
2025-11-28,Egg,g,2182.2
2025-11-28,Cheese,g,6638.9
2025-11-28,Flour,g,18847.1
2025-11-29,Rice,g,32183.2
2025-11-29,Chicken,g,41402.3
2025-11-29,Spices,g,3572.0
2025-11-29,Oil,ml,10786.2
2025-11-29,Vegetables,g,17543.7
2025-11-29,Egg,g,1902.5
2025-11-29,Cheese,g,6383.4
2025-11-29,Flour,g,17777.2
2025-11-30,Rice,g,36052.5
2025-11-30,Chicken,g,39367.0
2025-11-30,Spices,g,3677.3
2025-11-30,Oil,ml,11149.5
2025-11-30,Vegetables,g,18764.3
2025-11-30,Egg,g,2435.1
2025-11-30,Cheese,g,6964.9
2025-11-30,Flour,g,17290.6
2025-12-01,Rice,g,27606.2
2025-12-01,Chicken,g,26489.6
2025-12-01,Spices,g,2543.7
2025-12-01,Oil,ml,7229.5
2025-12-01,Vegetables,g,13401.3
2025-12-01,Egg,g,2248.8
2025-12-01,Cheese,g,3105.2
2025-12-01,Flour,g,9834.3
2025-12-02,Rice,g,24688.1
2025-12-02,Chicken,g,23265.0
2025-12-02,Spices,g,2385.3
2025-12-02,Oil,ml,7271.2
2025-12-02,Vegetables,g,14010.7
2025-12-02,Egg,g,2591.4
2025-12-02,Cheese,g,4330.0
2025-12-02,Flour,g,11610.2
2025-12-03,Rice,g,24809.3
2025-12-03,Chicken,g,21736.9
2025-12-03,Spices,g,2239.9
2025-12-03,Oil,ml,6242.6
2025-12-03,Vegetables,g,14595.8
