date,item,orders
2025-11-10,Fried Rice,35
2025-11-10,Burger,32
2025-11-10,Pizza,27
2025-11-10,Pasta,18
2025-11-10,Chicken Fry,28
2025-11-11,Chicken Biriyani,51
2025-11-11,Fried Rice,38
2025-11-11,Burger,25
2025-11-11,Pizza,25
2025-11-11,Pasta,28
2025-11-11,Chicken Fry,30
2025-11-12,Chicken Biriyani,51
2025-11-12,Fried Rice,35
2025-11-12,Burger,27
2025-11-12,Pizza,18
2025-11-12,Pasta,18
2025-11-12,Chicken Fry,33
2025-11-13,Chicken Biriyani,95
2025-11-13,Fried Rice,41
2025-11-13,Burger,27
2025-11-13,Pizza,36
2025-11-13,Pasta,21
2025-11-13,Chicken Fry,41
2025-11-14,Chicken Biriyani,94
2025-11-14,Fried Rice,39
2025-11-14,Burger,45
2025-11-14,Pizza,24
2025-11-14,Pasta,28
2025-11-14,Chicken Fry,48
2025-11-15,Chicken Biriyani,87
2025-11-15,Fried Rice,55
2025-11-15,Burger,50
2025-11-15,Pizza,36
2025-11-15,Pasta,29
2025-11-15,Chicken Fry,45
2025-11-16,Chicken Biriyani,91
2025-11-16,Fried Rice,51
2025-11-16,Burger,55
2025-11-16,Pizza,48
2025-11-16,Pasta,25
2025-11-16,Chicken Fry,50
2025-11-17,Chicken Biriyani,47
2025-11-17,Fried Rice,31
2025-11-17,Burger,36
2025-11-17,Pizza,17
2025-11-17,Pasta,34
2025-11-17,Chicken Fry,29
2025-11-18,Chicken Biriyani,56
2025-11-18,Fried Rice,33
2025-11-18,Burger,18
2025-11-18,Pizza,23
2025-11-18,Pasta,14
2025-11-18,Chicken Fry,29
2025-11-19,Chicken Biriyani,46
2025-11-19,Fried Rice,37
2025-11-19,Burger,36
2025-11-19,Pizza,17
2025-11-19,Pasta,16
2025-11-19,Chicken Fry,35
2025-11-20,Chicken Biriyani,65
2025-11-20,Fried Rice,42
2025-11-20,Burger,44
2025-11-20,Pizza,23
2025-11-20,Pasta,21
2025-11-20,Chicken Fry,38
2025-11-21,Chicken Biriyani,79
2025-11-21,Fried Rice,43
2025-11-21,Burger,48
2025-11-21,Pizza,38
2025-11-21,Pasta,29
2025-11-21,Chicken Fry,31
2025-11-22,Chicken Biriyani,85
2025-11-22,Fried Rice,47
2025-11-22,Burger,54
2025-11-22,Pizza,48
2025-11-22,Pasta,24
2025-11-22,Chicken Fry,48
2025-11-23,Chicken Biriyani,93
2025-11-23,Fried Rice,49
2025-11-23,Burger,48
2025-11-23,Pizza,38
2025-11-23,Pasta,27
2025-11-23,Chicken Fry,36
2025-11-24,Chicken Biriyani,43
2025-11-24,Fried Rice,34
2025-11-24,Burger,22
2025-11-24,Pizza,24
2025-11-24,Pasta,22
2025-11-24,Chicken Fry,30
2025-11-25,Chicken Biriyani,71
2025-11-25,Fried Rice,49
2025-11-25,Burger,33
2025-11-25,Pizza,19
2025-11-25,Pasta,30
2025-11-25,Chicken Fry,34
2025-11-26,Chicken Biriyani,57
2025-11-26,Fried Rice,50
2025-11-26,Burger,40
2025-11-26,Pizza,24
2025-11-26,Pasta,24
2025-11-26,Chicken Fry,33
2025-11-27,Chicken Biriyani,56
2025-11-27,Fried Rice,38
2025-11-27,Burger,34
2025-11-27,Pizza,27
2025-11-27,Pasta,29
2025-11-27,Chicken Fry,18
2025-11-28,Chicken Biriyani,77
2025-11-28,Fried Rice,43
2025-11-28,Burger,65
2025-11-28,Pizza,34
2025-11-28,Pasta,29
2025-11-28,Chicken Fry,45
2025-11-29,Chicken Biriyani,95
2025-11-29,Fried Rice,37
2025-11-29,Burger,69
2025-11-29,Pizza,32
2025-11-29,Pasta,22
2025-11-29,Chicken Fry,44
2025-11-30,Chicken Biriyani,96
2025-11-30,Fried Rice,48
2025-11-30,Burger,49
2025-11-30,Pizza,43
2025-11-30,Pasta,16
2025-11-30,Chicken Fry,47
2025-12-01,Chicken Biriyani,69
2025-12-01,Fried Rice,43
2025-12-01,Burger,35
2025-12-01,Pizza,13
2025-12-01,Pasta,20
2025-12-01,Chicken Fry,26
2025-12-02,Chicken Biriyani,52
2025-12-02,Fried Rice,51
2025-12-02,Burger,35
2025-12-02,Pizza,22
2025-12-02,Pasta,21
2025-12-02,Chicken Fry,28
2025-12-03,Chicken Biriyani,57
2025-12-03,Fried Rice,45
2025-12-03,Burger,31
2025-12-03,Pizza,23
2025-12-03,Pasta,30
2025-12-03,Chicken Fry,19
2025-12-04,Chicken Biriyani,59
2025-12-04,Fried Rice,53
2025-12-04,Burger,37
2025-12-04,Pizza,17
2025-12-04,Pasta,32
2025-12-04,Chicken Fry,33
2025-12-05,Chicken Biriyani,65
2025-12-05,Fried Rice,52
2025-12-05,Burger,49
2025-12-05,Pizza,36
2025-12-05,Pasta,28
2025-12-05,Chicken Fry,40
2025-12-06,Chicken Biriyani,73
2025-12-06,Fried Rice,52
2025-12-06,Burger,62
2025-12-06,Pizza,45
2025-12-06,Pasta,26
2025-12-06,Chicken Fry,44
2025-12-07,Chicken Biriyani,82
2025-12-07,Fried Rice,44
2025-12-07,Burger,68
2025-12-07,Pizza,54
2025-12-07,Pasta,28
2025-12-07,Chicken Fry,33
2025-12-08,Chicken Biriyani,62
2025-12-08,Fried Rice,31
2025-12-08,Burger,31
2025-12-08,Pizza,21
2025-12-08,Pasta,26
2025-12-08,Chicken Fry,35
2025-12-09,Chicken Biriyani,46
2025-12-09,Fried Rice,32
2025-12-09,Burger,34
2025-12-09,Pizza,21
2025-12-09,Pasta,21
2025-12-09,Chicken Fry,31
2025-12-10,Chicken Biriyani,45
2025-12-10,Fried Rice,53
2025-12-10,Burger,30
2025-12-10,Pizza,18
2025-12-10,Pasta,21
2025-12-10,Chicken Fry,34
2025-12-11,Chicken Biriyani,59
2025-12-11,Fried Rice,46
2025-12-11,Burger,40
2025-12-11,Pizza,27
2025-12-11,Pasta,16
2025-12-11,Chicken Fry,34
2025-12-12,Chicken Biriyani,74
2025-12-12,Fried Rice,53
2025-12-12,Burger,52
2025-12-12,Pizza,32
2025-12-12,Pasta,33
2025-12-12,Chicken Fry,47
2025-12-13,Chicken Biriyani,82
2025-12-13,Fried Rice,58
2025-12-13,Burger,69
2025-12-13,Pizza,38
2025-12-13,Pasta,21
2025-12-13,Chicken Fry,44
2025-12-14,Chicken Biriyani,85
2025-12-14,Fried Rice,52
2025-12-14,Burger,59
2025-12-14,Pizza,45
2025-12-14,Pasta,21
2025-12-14,Chicken Fry,51
2025-12-15,Chicken Biriyani,44
2025-12-15,Fried Rice,41
2025-12-15,Burger,41
2025-12-15,Pizza,14
2025-12-15,Pasta,15
2025-12-15,Chicken Fry,28
2025-12-16,Chicken Biriyani,74
2025-12-16,Fried Rice,35
2025-12-16,Burger,31
2025-12-16,Pizza,23
2025-12-16,Pasta,17
2025-12-16,Chicken Fry,25
2025-12-17,Chicken Biriyani,66
2025-12-17,Fried Rice,44
2025-12-17,Burger,35
2025-12-17,Pizza,28
2025-12-17,Pasta,23
2025-12-17,Chicken Fry,39
2025-12-18,Chicken Biriyani,50
2025-12-18,Fried Rice,50
2025-12-18,Burger,43
2025-12-18,Pizza,21
2025-12-18,Pasta,22
2025-12-18,Chicken Fry,35
2025-12-19,Chicken Biriyani,82
2025-12-19,Fried Rice,44
2025-12-19,Burger,43
2025-12-19,Pizza,35
2025-12-19,Pasta,32
2025-12-19,Chicken Fry,45
2025-12-20,Chicken Biriyani,90
2025-12-20,Fried Rice,48
2025-12-20,Burger,48
2025-12-20,Pizza,55
2025-12-20,Pasta,28
2025-12-20,Chicken Fry,42
2025-12-21,Chicken Biriyani,106
2025-12-21,Fried Rice,47
2025-12-21,Burger,45
2025-12-21,Pizza,40
2025-12-21,Pasta,16
2025-12-21,Chicken Fry,34
2025-12-22,Chicken Biriyani,56
2025-12-22,Fried Rice,38
2025-12-22,Burger,35
2025-12-22,Pizza,27
2025-12-22,Pasta,29
2025-12-22,Chicken Fry,31
2025-12-23,Chicken Biriyani,59
2025-12-23,Fried Rice,26
2025-12-23,Burger,34
2025-12-23,Pizza,14
2025-12-23,Pasta,19
2025-12-23,Chicken Fry,40
2025-12-24,Chicken Biriyani,66
2025-12-24,Fried Rice,50
2025-12-24,Burger,25
2025-12-24,Pizza,16
2025-12-24,Pasta,26
2025-12-24,Chicken Fry,41
2025-12-25,Chicken Biriyani,102
2025-12-25,Fried Rice,63
2025-12-25,Burger,52
2025-12-25,Pizza,40
2025-12-25,Pasta,37
2025-12-25,Chicken Fry,40
2025-12-26,Chicken Biriyani,82
2025-12-26,Fried Rice,44
2025-12-26,Burger,44
2025-12-26,Pizza,28
2025-12-26,Pasta,23
2025-12-26,Chicken Fry,51
2025-12-27,Chicken Biriyani,95
2025-12-27,Fried Rice,57
2025-12-27,Burger,51
2025-12-27,Pizza,37
2025-12-27,Pasta,26
2025-12-27,Chicken Fry,45
2025-12-28,Chicken Biriyani,92
2025-12-28,Fried Rice,51
2025-12-28,Burger,43
2025-12-28,Pizza,29
2025-12-28,Pasta,28
2025-12-28,Chicken Fry,40
2025-12-29,Chicken Biriyani,58
2025-12-29,Fried Rice,28
2025-12-29,Burger,28
2025-12-29,Pizza,14
2025-12-29,Pasta,20
2025-12-29,Chicken Fry,20
2025-12-30,Chicken Biriyani,38
2025-12-30,Fried Rice,33
2025-12-30,Burger,40
2025-12-30,Pizza,14
2025-12-30,Pasta,21
2025-12-30,Chicken Fry,26
2025-12-31,Chicken Biriyani,67
2025-12-31,Fried Rice,43
2025-12-31,Burger,38
2025-12-31,Pizza,27
2025-12-31,Pasta,24
2025-12-31,Chicken Fry,30
2026-01-01,Chicken Biriyani,85
2026-01-01,Fried Rice,60
2026-01-01,Burger,44
2026-01-01,Pizza,38
2026-01-01,Pasta,34
2026-01-01,Chicken Fry,47
2026-01-02,Chicken Biriyani,72
2026-01-02,Fried Rice,45
2026-01-02,Burger,44
2026-01-02,Pizza,44
2026-01-02,Pasta,33
2026-01-02,Chicken Fry,59
2026-01-03,Chicken Biriyani,82
2026-01-03,Fried Rice,41
2026-01-03,Burger,50
2026-01-03,Pizza,58
2026-01-03,Pasta,24
2026-01-03,Chicken Fry,56
2026-01-04,Chicken Biriyani,72
2026-01-04,Fried Rice,43
2026-01-04,Burger,43
2026-01-04,Pizza,40
2026-01-04,Pasta,26
2026-01-04,Chicken Fry,45
2026-01-05,Chicken Biriyani,56
2026-01-05,Fried Rice,40
2026-01-05,Burger,26
2026-01-05,Pizza,25
2026-01-05,Pasta,15
2026-01-05,Chicken Fry,30
2026-01-06,Chicken Biriyani,56
2026-01-06,Fried Rice,31
2026-01-06,Burger,38
2026-01-06,Pizza,19
2026-01-06,Pasta,26
2026-01-06,Chicken Fry,26
2026-01-07,Chicken Biriyani,63
2026-01-07,Fried Rice,51
2026-01-07,Burger,28
2026-01-07,Pizza,27
2026-01-07,Pasta,24
2026-01-07,Chicken Fry,25
2026-01-08,Chicken Biriyani,46
2026-01-08,Fried Rice,45
2026-01-08,Burger,35
2026-01-08,Pizza,33
2026-01-08,Pasta,31
2026-01-08,Chicken Fry,40
2026-01-09,Chicken Biriyani,78
2026-01-09,Fried Rice,59
2026-01-09,Burger,51
2026-01-09,Pizza,44
2026-01-09,Pasta,34
2026-01-09,Chicken Fry,32
2026-01-10,Chicken Biriyani,81
2026-01-10,Fried Rice,41
2026-01-10,Burger,57
2026-01-10,Pizza,48
2026-01-10,Pasta,34
2026-01-10,Chicken Fry,42
2026-01-11,Chicken Biriyani,102
2026-01-11,Fried Rice,59
2026-01-11,Burger,63
2026-01-11,Pizza,46
2026-01-11,Pasta,28
2026-01-11,Chicken Fry,39
2026-01-12,Chicken Biriyani,54
2026-01-12,Fried Rice,41
2026-01-12,Burger,29
2026-01-12,Pizza,22
2026-01-12,Pasta,23
2026-01-12,Chicken Fry,22
2026-01-13,Chicken Biriyani,59
2026-01-13,Fried Rice,54
2026-01-13,Burger,28
2026-01-13,Pizza,18
2026-01-13,Pasta,21
2026-01-13,Chicken Fry,30
2026-01-14,Chicken Biriyani,57
2026-01-14,Fried Rice,36
2026-01-14,Burger,31
2026-01-14,Pizza,25
2026-01-14,Pasta,27
2026-01-14,Chicken Fry,30
2026-01-15,Chicken Biriyani,54
2026-01-15,Fried Rice,41
2026-01-15,Burger,36
2026-01-15,Pizza,24
2026-01-15,Pasta,26
2026-01-15,Chicken Fry,32
2026-01-16,Chicken Biriyani,86
2026-01-16,Fried Rice,50
2026-01-16,Burger,58
2026-01-16,Pizza,39
2026-01-16,Pasta,30
2026-01-16,Chicken Fry,50
2026-01-17,Chicken Biriyani,82
2026-01-17,Fried Rice,60
2026-01-17,Burger,54
2026-01-17,Pizza,49
2026-01-17,Pasta,27
2026-01-17,Chicken Fry,49
2026-01-18,Chicken Biriyani,93
2026-01-18,Fried Rice,42
2026-01-18,Burger,45
2026-01-18,Pizza,47
2026-01-18,Pasta,22
2026-01-18,Chicken Fry,42
2026-01-19,Chicken Biriyani,61
2026-01-19,Fried Rice,43
2026-01-19,Burger,27
2026-01-19,Pizza,17
2026-01-19,Pasta,23
2026-01-19,Chicken Fry,36
2026-01-20,Chicken Biriyani,55
2026-01-20,Fried Rice,35
2026-01-20,Burger,40
2026-01-20,Pizza,20
2026-01-20,Pasta,20
2026-01-20,Chicken Fry,32
2026-01-21,Chicken Biriyani,67
2026-01-21,Fried Rice,40
2026-01-21,Burger,35
2026-01-21,Pizza,29
2026-01-21,Pasta,24
2026-01-21,Chicken Fry,34
2026-01-22,Chicken Biriyani,49
2026-01-22,Fried Rice,40
2026-01-22,Burger,48
2026-01-22,Pizza,21
2026-01-22,Pasta,34
2026-01-22,Chicken Fry,21
2026-01-23,Chicken Biriyani,82
2026-01-23,Fried Rice,44
2026-01-23,Burger,48
2026-01-23,Pizza,44
2026-01-23,Pasta,16
2026-01-23,Chicken Fry,48
2026-01-24,Chicken Biriyani,102
2026-01-24,Fried Rice,66
2026-01-24,Burger,71
2026-01-24,Pizza,43
2026-01-24,Pasta,27
2026-01-24,Chicken Fry,55
2026-01-25,Chicken Biriyani,90
2026-01-25,Fried Rice,56
2026-01-25,Burger,66
2026-01-25,Pizza,42
2026-01-25,Pasta,44
2026-01-25,Chicken Fry,47
2026-01-26,Chicken Biriyani,77
2026-01-26,Fried Rice,72
2026-01-26,Burger,45
2026-01-26,Pizza,32
2026-01-26,Pasta,28
2026-01-26,Chicken Fry,31
2026-01-27,Chicken Biriyani,53
2026-01-27,Fried Rice,46
2026-01-27,Burger,32
2026-01-27,Pizza,20
2026-01-27,Pasta,25
2026-01-27,Chicken Fry,31
2026-01-28,Chicken Biriyani,56
2026-01-28,Fried Rice,47
2026-01-28,Burger,32
2026-01-28,Pizza,19
2026-01-28,Pasta,31
2026-01-28,Chicken Fry,21
2026-01-29,Chicken Biriyani,65
2026-01-29,Fried Rice,44
